question,answer,label
Is dupilumab an antibody targeting the IL-1 receptor?,"No, Dupilumab is a fully human monoclonal antibody directed against the IL-4 receptor α subunit that blocks the signaling of IL-4 and IL-13, both key cytokines in Th2-mediated pathways.",1
List active ingredients of the Stribild polypill.,"Active ingredients of Stribild are elvitegravir, cobicistat, emtricitabine and tenofovir. It is used for treatment of HIV infection.",1
Which are the most common methods for circular RNA detection from RNASeq?,"The main algorithms are circRNA_finder, find_circ, CIRCexplorer, CIRI, and MapSplice. Here, we use common RNAseq datasets to scrutinize and compare the output from five different algorithms; circRNA_finder, find_circ, CIRCexplorer, CIRI, and MapSplice and evaluate the levels of bona fide and false positive circRNAs based on RNase R resistance.  Here, we use common RNAseq datasets to scrutinize and compare the output from five different algorithms; circRNA_finder, find_circ, CIRCexplorer, CIRI, and MapSplice and evaluate the levels of bona fide and false positive circRNAs based on RNase R resistance. CircRNAs are novel members of the non-coding RNA family. Several pipelines have been developed to specifically identify these non-linear reads and consequently predict the landscape of circRNAs based on deep sequencing datasets. Here, we use common RNAseq datasets to scrutinize and compare the output from five different algorithms; circRNA_finder, find_circ, CIRCexplorer, CIRI, and MapSplice and evaluate the levels of bona fide and false positive circRNAs based on RNase R resistance. , use common rnaseq datasets to scrutinize and compare the output from five different algorithms; circrna_finder , find_circ , circexplorer , ciri , and mapsplice and evaluate the levels of bona fide and false positive circrnas based on rnase r resistance. .  here, we use common rnaseq datasets to scrutinize and compare the output from five different algorithms; circrna.finder, find.circ, circexplorer, ciri, and mapsplice and evaluate the levels of bona fide and false positive circrnas based on rnase r resistance.",1
What is MPE-seq?,"MPE-seq (methidiumpropyl-EDTA sequencing) is a new method for the genome-wide characterization of chromatin that involves the digestion of nuclei with MPE-Fe(II) followed by massively parallel sequencing. Like micrococcal nuclease (MNase), MPE-Fe(II) preferentially cleaves the linker DNA between nucleosomes. However, there are differences in the cleavage of nuclear chromatin by MPE-Fe(II) relative to MNase. MPE-seq provides a unique and straightforward means for the genome-wide analysis of chromatin structure with minimal DNA sequence bias. In particular, the combined use of MPE-seq and MNase-seq enables the identification of noncanonical chromatin structures that are likely to be important for the regulation of gene expression.",1
What is the role of TAD protein domain?,TAD domain is a transcription activation domain found in transcription factors.,1
Is autophagy the process where bacteria ingest viral particles?,"Autophagy, a cellular degradation process",1
What is the cause of Tardive dyskinesia?,Tardive dyskinesia (TD) is a movement disorder characterized by abnormal involuntary facial movements induced by chronic therapy with classical antipsychotic medications.,1
List clinical features of the IMAGe syndrome.,"Clinical features of IMAGe syndrome include intra-uterine growth restriction, metaphyseal dysplasia, adrenal hypoplasia congenita and genital abnormalities. It is s caused by gain-of-function mutations of maternally expressed gene CDKN1C on chromosome 11p15.5.",1
Which gene mutations are predictive of response to anti-TNF therapy in Rheumatoid Arthritis patients?,Μutations in TLR5 and TLR1 genes contribute to differential response to anti-TNF treatment in RA. Variation at FCGR2A and functionally related genes such as DHX32 and RGS12 is also associated with the response to anti-TNF therapy in rheumatoid arthritis.,1
Which method is used for prediction of novel microRNA genes in cancer-associated genomic regions?,"SSCprofiler is a computational tool utilizing a probabilistic method based on Profile Hidden Markov Models to predict novel miRNA precursors. Via the simultaneous integration of biological features such as sequence, structure and conservation, SSCprofiler achieves a performance accuracy of 88.95% sensitivity and 84.16% specificity on a large set of human miRNA genes. The trained classifier is used to identify novel miRNA gene candidates located within cancer-associated genomic regions and rank the resulting predictions using expression information from a full genome tiling array. SSCprofiler is freely available as a web service at http://www.imbb.forth.gr/SSCprofiler.html.",1
Does the histone chaperone ASF1 interact with histones H1/H2?,"No, the histone chaperone ASF1 interacts with histones H3/H4.",1
Is Hepatic mesenchymal hamartoma usually a malignant tumor?,"Mesenchymal hamartoma of the liver (MHL) is an uncommon benign hepatic tumor typically affecting children under 2 years of age. Mesenchymal hamartoma of the liver (MHL) is a benign and rare hepatic lesion,  mesenchymal hamartoma of the liver (mhl) is an uncommon benign hepatic tumor typically affecting children under 2 years of age.",1
Can aspirin be used in cancer prevention?,"Long-term aspirin use was associated with a modest but significantly reduced risk for overall cancer, especially gastrointestinal tract tumors. Regular aspirin use may prevent a substantial proportion of colorectal cancers and complement the benefits of screening.",1
List clinical features of EEM syndrome.,"EEM syndrome is characterized by ectodermal dysplasia, ectrodactyly and macular dystrophy.",1
From which cell type is leptin secreted?,"leptin is mainly produced and secreted by adipocytes, but other tissues and gastric glands have also recently been shown to produce it in a dual (endocrine and exocrine) mode.  Although leptin is produced mainly by white adipose tissue, several laboratories have shown low levels of leptin production by a growing number of tissues including the anterior pituitary gland.  Although leptin is produced mainly by white adipose tissue, several laboratories have shown low levels of leptin production by a growing number of tissues including the anterior pituitary gland. Lipolysis (stimulated by beta-adrenergic agents) and leptin secretion by adipocytes are down-regulated by neurons in coculture, effects apparently mediated by neuropeptide Y (NPY) Although leptin is produced mainly by white adipose tissue, several laboratories have shown low levels of leptin production by a growing number of tissues including the anterior pituitary gland. Lipolysis (stimulated by beta-adrenergic agents) and leptin secretion by adipocytes are down-regulated by neurons in coculture, effects apparently mediated by neuropeptide Y (NPY). Leptin is mainly produced and secreted by adipocytes, but other tissues and gastric glands have also recently been shown to produce it in a dual (endocrine and exocrine) mode. Leptin was also detected in some microglobules in whole saliva obtained from four healthy volunteers. Co-localization for leptin, leptin receptor and glucocorticoid receptor in the same cell type suggested a functional relationship between glucocorticoid hormone and leptin secretion also at the level of the salivary glands.  Leptin is mainly produced and secreted by adipocytes, but other tissues and gastric glands have also recently been shown to produce it in a dual (endocrine and exocrine) mode. Co-localization for leptin, leptin receptor and glucocorticoid receptor in the same cell type suggested a functional relationship between glucocorticoid hormone and leptin secretion also at the level of the salivary glands. Leptin is mainly produced and secreted by adipocytes, but other tissues and gastric glands have also recently been shown to produce it in a dual (endocrine and exocrine) mode. Co-localization for leptin, leptin receptor and glucocorticoid receptor in the same cell type suggested a functional relationship between glucocorticoid hormone and leptin secretion also at the level of the salivary glands. Leptin is mainly produced and secreted by adipocytes, but other tissues and gastric glands have also recently been shown to produce it in a dual (endocrine and exocrine) mode. Leptin is a 16 kDa protein that exerts important effects on the regulation of food intake and energy expenditure by interacting with the leptin receptor in the brain and in many other tissues. Although leptin is produced mainly by white adipose tissue, several laboratories have shown low levels of leptin production by a growing number of tissues including the anterior pituitary gland. Leptin was also detected in some microglobules in whole saliva obtained from four healthy volunteers. Co-localization for leptin, leptin receptor and glucocorticoid receptor in the same cell type suggested a functional relationship between glucocorticoid hormone and leptin secretion also at the level of the salivary glands.  Although leptin is produced mainly by white adipose tissue, several laboratories have shown low levels of leptin production by a growing number of tissues including the anterior pituitary gland.",1
Which tool is used for the identification of recurrent variants in noncoding regions?,"LARVA is an integrative framework for large-scale analysis of recurrent variants in noncoding annotations. It integrates variants with a comprehensive set of noncoding functional elements, modeling the mutation counts of the elements with a β-binomial distribution to handle overdispersion. LARVA, moreover, uses regional genomic features such as replication timing to better estimate local mutation rates and mutational hotspots. Furthermore, LARVA highlights several novel highly mutated regulatory sites that could potentially be noncoding drivers.",1
Which are the components of the pre-replication complex (pre-RC) in eukaryotes?,"The components of the pre-replication complex (pre-RC) in eukaryotes are:
1) Cdc6/Cdc18, 
2) MCM, 
3) ORC1-6,
4) Cdt1 and
5) Sap1/Gi.",1
What body parts are also known as phalanges?,"The anatomical structure of each finger is comprised of four phalanges (distal, middle, proximal, and metacarpal phalange). Toes are also known as phalages",1
Are selenium supplements recommended for prostate cancer prevention?,No. The SELECT study failed to show any significant risk reduction for prostate cancers ascribable to selenium and vitamin E supplementations.,1
Which disease is treated with lucinactant?,Lucinactant us used for the prevention of respiratory distress syndrome in premature infants.,1
Which proteins control the degradation of cryptic unstable transcripts (CUTs) in yeast?,"Termination of cryptic unstable transcripts is directed by yeast RNA-binding proteins Nrd1 and Nab3. These cryptic unstable transcripts (CUTs) are rapidly degraded by the nuclear exosome. Key substrates for exosomal degradation include aberrant functional RNAs and cryptic unstable transcripts (CUTs). Yeast RNA binding proteins Nrd1 and Nab3 direct termination of sn/snoRNAs and recently have also been implicated in premature transcription termination of the NRD1 gene. These results suggest that transcription termination of CUTs directed by Nrd1 and Nab3 is a prerequisite for rapid degradation by the nuclear exosome.  Termination of cryptic unstable transcripts is directed by yeast RNA-binding proteins Nrd1 and Nab3. Key substrates for exosomal degradation include aberrant functional RNAs and cryptic unstable transcripts (CUTs). These cryptic unstable transcripts (CUTs) are rapidly degraded by the nuclear exosome. These transcripts are targeted for degradation immediately after synthesis by the action of the Nrd1-exosome-TRAMP complexes. Cryptic unstable transcripts (CUTs) were recently described as a principal class of RNA polymerase II transcripts in Saccharomyces cerevisiae.  The exosome and its nuclear specific subunit Rrp6 form a 3'-5' exonuclease complex that regulates diverse aspects of RNA biology including 3' end processing and degradation of a variety of noncoding RNAs (ncRNAs) and unstable transcripts. Known targets of the nuclear exosome include short (<1000 bp) RNAPII transcripts such as small noncoding RNAs (snRNAs), cryptic unstable transcripts (CUTs), and some stable unannotated transcripts (SUTs) that are terminated by an Nrd1, Nab3, and Sen1 (NNS) dependent mechanism. The MTREC complex physically interacts with the nuclear exosome and with various RNA-binding and RNA-processing complexes, coupling RNA processing to the RNA degradation machinery. Termination of cryptic unstable transcripts is directed by yeast RNA-binding proteins Nrd1 and Nab3 These cryptic unstable transcripts (CUTs) are rapidly degraded by the nuclear exosome. Yeast RNA binding proteins Nrd1 and Nab3 direct termination of sn/snoRNAs and recently have also been implicated in premature transcription termination of the NRD1 gene. Termination of cryptic unstable transcripts is directed by yeast RNA-binding proteins Nrd1 and Nab3. Yeast RNA binding proteins Nrd1 and Nab3 direct termination of sn/snoRNAs and recently have also been implicated in premature transcription termination of the NRD1 gene. These cryptic unstable transcripts (CUTs) are rapidly degraded by the nuclear exosome. These results suggest that transcription termination of CUTs directed by Nrd1 and Nab3 is a prerequisite for rapid degradation by the nuclear exosome. Key substrates for exosomal degradation include aberrant functional RNAs and cryptic unstable transcripts (CUTs).  Termination of cryptic unstable transcripts is directed by yeast RNA-binding proteins Nrd1 and Nab3 Cryptic unstable transcripts (CUTs) were recently described as a principal class of RNA polymerase II transcripts in Saccharomyces cerevisiae. These transcripts are targeted for degradation immediately after synthesis by the action of the Nrd1-exosome and Trf4/5-Air1/2-Mtr4 polyadenylation (TRAMP) complexes. The termination of cryptic unstable transcripts is directed by yeast RNA-binding proteins Nrd1 and Nab3. Known targets of the nuclear exosome include short (<1000 bp) RNAPII transcripts such as small noncoding RNAs (snRNAs), cryptic unstable transcripts (CUTs), and some stable unannotated transcripts (SUTs) that are terminated by an Nrd1, Nab3, and Sen1 (NNS) dependent mechanism. Recent work suggests Nrd1 is necessary for transcriptome surveillance, regulating promoter directionality and suppressing antisense transcription independently of, or prior to, Rrp6 activity.",1
Is there any involvement of L1 retrotransposition in the Rett syndrome?,Yes. Recent studies indicate that long interspersed nuclear element-1 (L1) are mobilized in the genome of human neural progenitor cells and enhanced in Rett syndrome and ataxia telangiectasia.,1
What is the inheritance of hypophosphatemic rickets?,"Hypophosphatemic rickets are transmitted with:
1) autosomal recessive
2) autosomal dominant
3) X-linked recessive and
4) X-linked dominant inheritance.",1
"Which mushroom is poisonous, Amanita phalloides or Agaricus Bisporus",The well-known cultivated species Agaricus bisporus is safe to eat while Amanita Phalloides is poisonous.,1
Is Downs syndrome associated with decreased risk of leukemia?,"No, multiple studies have established the incidence of leukemia in Down's syndrome patients to be 10- to 20-fold higher than that in the general population.",1
Which enzyme is inhibited by ixazomib?,Ixazomib is proteasome inhibitor. It is used for treatment of multiple myeloma.,1
Which is the most common gene signature in Rheumatoid Arthritis patients?,"A five gene type I IFN signature was assessed in these subjects to identify subpopulations showing both activation and concordance of the type I IFN pathway in the peripheral blood and disease-affected tissues of each disease and to correlate activation of this pathway in the WB with clinical measurements.R Baseline disease activity measurements correlated with a type I IFN gene signature in the WB of subjects with SLE, PM and SSc, as did various serum autoantibody levels in subjects with SLE and DM. Baseline disease activity measurements correlated with a type I IFN gene signature in the WB of subjects. The type I IFN signature negatively predicts the clinical response to rituximab treatment in patients with RA. a five gene type i ifn signature was assessed in these subjects to identify subpopulations showing both activation and concordance of the type i ifn pathway in the peripheral blood and disease-affected tissues of each disease and to correlate activation of this pathway in the wb with clinical measurements. A five gene type I IFN signature was assessed in these subjects to identify subpopulations showing both activation and concordance of the type I IFN pathway in the peripheral blood and disease-affected tissues of each disease and to correlate activation of this pathway in the WB with clinical measurements.R",1
What is PANTHER-PSEP?,"PANTHER-PSEP is a new software tool for predicting non-synonymous genetic variants that may play a causal role in human disease. Several previous variant pathogenicity prediction methods have been proposed that quantify evolutionary conservation among homologous proteins from different organisms. PANTHER-PSEP employs a related but distinct metric based on 'evolutionary preservation': homologous proteins are used to reconstruct the likely sequences of ancestral proteins at nodes in a phylogenetic tree, and the history of each amino acid can be traced back in time from its current state to estimate how long that state has been preserved in its ancestors.  PANTHER-PSEP is a software tool for predicting non-synonymous genetic variants that may play a causal role in human disease. PANTHER-PSEP employs a related but distinct metric based on 'evolutionary preservation': homologous proteins are used to reconstruct the likely sequences of ancestral proteins at nodes in a phylogenetic tree, and the history of each amino acid can be traced back in time from its current state to estimate how long that state has been preserved in its ancestors. PANTHER-PSEP is a new software tool for predicting non-synonymous genetic variants that may play a causal role in human disease.",1
Does PCSK9 (Proprotein convertase subtilisin/kexin type 9) binds with HDL-receptor (HDL-R)?,"No, Proprotein Convertase Subtilisin Kexin 9 (PCSK9) binds with LDL-receptor (LDL-R) causing its degradation in the lysosome with the result of LDL-C accumulating in the blood.",1
Hy's law measures failure for what organ?,Hy's law correlates enzyme elevations with liver injury ad subsequent failure.,1
Is apremilast effective for psoriatic arthritis?,"Yes, apremilast, an oral phosphodiesterase 4 inhibitor, is effective for psoriatic arthritis.",1
Which NGS alignment software implement the Burrows-Wheeler Transform?,"The most widely used software belong to the family of the Burrows-Wheeler Aligner (BWA) and its variants for local alignment BWASW, map reduce BWASW-PMR and multi-threaded implementation BWA-MT. Other approaches include Bowtie, SOAP2, BWBBLE, SOAP2 and FANSe2.",1
Is there any role of TBR1 in autism?,"Yes. Exome sequencing studies have identified multiple genes harboring de novo loss-of-function (LoF) variants in individuals with autism spectrum disorders (ASD), including T-Brain-1 (TBR1), a master regulator of cortical development. T-brain-1 (TBR1) is a brain-specific T-box transcription factor. In 1995, Tbr1 was first identified from a subtractive hybridization that compared mouse embryonic and adult telencephalons. Previous studies of Tbr1 (-∕-) mice have indicated critical roles for TBR1 in the development of the cerebral cortex, amygdala, and olfactory bulb. Neuronal migration and axonal projection are two important developmental features controlled by TBR1.",1
What is the role of the MCM2-7 complex?,"The MCM2-7 complex is a ring-shaped heterohexamer helicase, that unwinds the DNA double helix ahead of the other replication machinery. During pre-replication complex (pre-RC) formation, origin recognition complex (ORC), Cdc6, and Cdt1 cooperatively load a double-hexameric MCM2-7 complex onto DNA. Loading of MCM2-7 is a prerequisite for licensing of eukaryotic DNA replication. During S phase MCM2-7 functions as part of the replicative helicase but within the pre-RC MCM2-7 is inactive.",1
What is the function of the exosome?,Exosomes are 40-100-nm vesicles released by most cell types after fusion of multivesicular endosomes with the plasma membrane. Exosomes contain proteins and RNA species and can mediate communication and immune responses.,1
Is intraoperative radiotherapy used for treatment of glioblastoma?,"Yes, intraoperative radiotherapy (IORT) is being used for treatment of glioblastoma. IORT combined with extensive tumor removal has an acceptable toxicity in previously irradiated patients and can be effective for selected recurrent malignant brain tumors.",1
In which fields of DNA sequencing are Bloom filters applied?,"A novel algorithm, fast and accurate classification of sequences (FACSs), is introduced that can accurately and rapidly classify sequences as belonging or not belonging to a reference sequence.  Classification of DNA sequences using Bloom filters Lighter is a fast, memory-efficient tool for correcting sequencing errors. A novel algorithm, fast and accurate classification of sequences (FACSs), is introduced that can accurately and rapidly classify sequences as belonging or not belonging to a reference sequence. Classification of DNA sequences using Bloom filters. Further, we note that Bloom filters would be suitable to implicitly store spaced seeds and be tolerant to sequencing errors. Lighter avoids counting k-mers. Fast lossless compression via cascading Bloom filters.  A novel algorithm, fast and accurate classification of sequences (FACSs), is introduced that can accurately and rapidly classify sequences as belonging or not belonging to a reference sequence. Classification of DNA sequences using Bloom filters. Instead, it uses a pair of Bloom filters, one holding a sample of the input k-mers and the other holding k-mers likely to be correct. Fast lossless compression via cascading Bloom filters. Lighter is a fast, memory-efficient tool for correcting sequencing errors.  A novel algorithm, fast and accurate classification of sequences (FACSs), is introduced that can accurately and rapidly classify sequences as belonging or not belonging to a reference sequence. Classification of DNA sequences using Bloom filters. Instead, it uses a pair of Bloom filters, one holding a sample of the input k-mers and the other holding k-mers likely to be correct. Lighter is a fast, memory-efficient tool for correcting sequencing errors. Lighter avoids counting k-mers.  Bloom Filters (BFs) reduce the memory footprint required to store millions of k-mers while allowing for fast set containment queries, at the cost of a low false positive rate (FPR). Cascading Bloom filters have been used to improve the memory usage and speed of DNA sequence compression. Further, we note that Bloom filters would be suitable to implicitly store spaced seeds and be tolerant to sequencing errors.  It uses a pair of cache oblivious Bloom filters, one holding a uniform sample of [Formula: see text]-spaced sequenced [Formula: see text]-mers and the other holding [Formula: see text]-mers classified as likely correct, using a simple statistical test.",1
What is the function of lncRNA?,"Long noncoding RNAs (lncRNAs) are involved in a variety of biological processes, including the epigenetic control of gene expression, post-transcriptional regulation of mRNA, and cellular proliferation and differentiation",1
Which 2 medications are included in the Qsymia pill?,Qsymia pill includes phentermine and topiramate. It is used for treatment of obesity.,1
Is apremilast effective for psoriasis?,"Yes, apremilast is effective for treatment of psoriasis.",1
Is sonidegib effective for basal cell carcinoma?,"Yes. Sonidegib, an oral smoothened antagonist, is indicated for the treatment of adults with locally advanced basal cell carcinoma (laBCC) who are not candidates for surgery or radiation therapy, or adults with recurrent laBCC following surgery or radiation therapy.",1
Is there an association between TERT promoter mutation and survival of glioma patients?,"Yes, TERT mutation is associated with survival of glioma patients and was suggested as a bio-marker of gliomas.",1
Is the yeast Μac1 transcription factor induced upon copper deficiency?,"In Saccharomyces cerevisiae, transcriptional responses to copper deficiency are mediated by the copper-responsive transcription factor Mac1. Ace1 mediates copper-induced gene expression in cells exposed to stressful levels of copper salts, whereas Mac1 activates a subset of genes under copper-deficient conditions.",1
Are there interactomes available for POU5F1 and SOX2?,Yes. Long-range chromosomal interactions on putative enhancers of POU5F1 and SOX2 genes in human embryonic stem cells (hESCs) have been assayed using 4C-Seq technique. Their frequent interacting regions mainly overlap with early DNA replication domains. The interactomes are associated with active histone marks and enriched with 5-hydroxymethylcytosine sites.,1
Which signaling pathway does sonidegib inhibit?,Sonidegib is a Hedghog signalling pathway inhibitor.,1
Under which conditions does AMPK phosphorylate TSC2?,"The AMP-activated serine/threonine protein kinase (AMPK) is a sensor of cellular energy status found in all eukaryotes, and it is activated under conditions of low intracellular ATP following stresses such as nutrient deprivation or hypoxia. The AMP-activated serine/threonine protein kinase (AMPK) is a sensor of cellular energy status found in all eukaryotes that is activated under conditions of low intracellular ATP following stresses such as nutrient deprivation or hypoxia. The AMP-activated serine/threonine protein kinase (AMPK) is a sensor of cellular energy status found in all eukaryotes that is activated under conditions of low intracellular ATP following stresses such as nutrient deprivation or hypoxia. The AMP-activated serine/threonine protein kinase (AMPK) is a sensor of cellular energy status found in all eukaryotes that is activated under conditions of low intracellular ATP following stresses such as nutrient deprivation or hypoxia. The AMP-activated serine/threonine protein kinase (AMPK) is a sensor of cellular energy status found in all eukaryotes that is activated under conditions of low intracellular ATP following stresses such as nutrient deprivation or hypoxia. The AMP-activated serine/threonine protein kinase (AMPK) is a sensor of cellular energy status found in all eukaryotes that is activated under conditions of low intracellular ATP following stresses such as nutrient deprivation or hypoxia.",1
Which is the target of the drug Denosumab?,Denosumab (Dmab) is a fully human monoclonal antibody against the receptor activator of nuclear factor-κB ligand (RANKL).,1
Which disease is treated with Eliglustat?,Eliglustat was developed for treatment of Gaucher's disease type 1.,1
Are immune cells affected in Amyotrophic Lateral Sclerosis?,"In ALS T-cell deficiency increases neuronal loss, while boosting T cell levels reduces it. Therapeutic immunization of mSOD1 mice with a myelin-derived peptide led to CP activation, and was followed by the accumulation of immunoregulatory cells, including IL-10-producing monocyte-derived macrophages and Foxp3(+) regulatory T cells, and elevation of the neurotrophic factors IGF-1 and GDNF in the diseased spinal cord parenchyma Therapeutic immunization of mSOD1 mice with a myelin-derived peptide led to CP activation, and was followed by the accumulation of immunoregulatory cells, including IL-10-producing monocyte-derived macrophages and Foxp3(+) regulatory T cells, and elevation of the neurotrophic factors IGF-1 and GDNF in the diseased spinal cord parenchyma Therapeutic immunization of mSOD1 mice with a myelin-derived peptide led to CP activation, and was followed by the accumulation of immunoregulatory cells, including IL-10-producing monocyte-derived macrophages and Foxp3(+) regulatory T cells, and elevation of the neurotrophic factors IGF-1 and GDNF in the diseased spinal cord parenchyma Therapeutic immunization of mSOD1 mice with a myelin-derived peptide led to CP activation, and was followed by the accumulation of immunoregulatory cells, including IL-10-producing monocyte-derived macrophages and Foxp3(+) regulatory T cells, and elevation of the neurotrophic factors IGF-1 and GDNF in the diseased spinal cord parenchyma Therapeutic immunization of mSOD1 mice with a myelin-derived peptide led to CP activation, and was followed by the accumulation of immunoregulatory cells, including IL-10-producing monocyte-derived macrophages and Foxp3(+) regulatory T cells, and elevation of the neurotrophic factors IGF-1 and GDNF in the diseased spinal cord parenchyma The intrathymic injection of donor spleen cells into antilymphocyte serum (ALS)-treated mice induces significant prolongation of donor skin grafts. To elucidate possible mechanisms involved in the induction of unresponsiveness in ALS-treated mice after intrathymic injection of donor spleen cells, we have analysed the reactivity of lymphoid cells from unresponsive mice in various ways. Here, we show that in the mutant superoxide dismutase 1 G93A (mSOD1) mouse model of ALS, the levels of natural killer T (NKT) cells increased dramatically, and T-cell distribution was altered both in lymphoid organs and in the spinal cord relative to wild-type mice. Therapeutic immunization of mSOD1 mice with a myelin-derived peptide led to CP activation, and was followed by the accumulation of immunoregulatory cells, including IL-10-producing monocyte-derived macrophages and Foxp3(+) regulatory T cells, and elevation of the neurotrophic factors IGF-1 and GDNF in the diseased spinal cord parenchyma.",1
Is there any algorithm for enhancer identification from chromatin state?,"Yes. RFECS is a random-forest based algorithm for enhancer identification from chromatin state. It integrates histone modification profiles for the identification of enhancers, and can be used to identify enhancers in a number of cell-types. RFECS not only leads to more accurate and precise prediction of enhancers than previous methods, but also helps identify the most informative and robust set of three chromatin marks for enhancer prediction. yes",1
When ceritinib used instead of crizotinib?,Ceritinib is approved for the treatment of ALK-positive metastatic NSCLC patients that are crizotinib-resistant and crizotinib-naïve.,1
Which are the main components of mTORC1?,"The mTOR (mammalian target of rapamycin) protein kinase is an important regulator of cell growth and is a key target for therapeutic intervention in cancer. Two complexes of mTOR have been identified: complex 1 (mTORC1), consisting of mTOR, Raptor (regulatory associated protein of mTOR) and mLST8 (mammalian lethal with SEC13 protein 8) and complex 2 (mTORC2) consisting of mTOR, Rictor (rapamycin-insensitive companion of mTOR), Sin1 (stress-activated protein kinase-interacting protein 1), and mLST8.",1
Is LPS a microbial product?,"Yes, the lipopolysaccharide (LPS) is a component of the bacterial cell wall.",1
Which disorder is rated by Palmini classification?,Palmini classification system is used for classification of focal cortical dysplasia.,1
Which histone modifications distinguish between promoters and enhancers?,"H3K27ac is a marker of active enhancers. An enhancer chromatin state signature associated with active developmental enhancers may be defined by high levels of H3K27ac marking, nucleosome displacement, hypersensitivity to sonication, and strong depletion of H3K27me3.",1
What is the link between Dax1 and Esrrb?,Dax1 associates with Esrrb and regulates its function in embryonic stem cells. Dax1 associates with Esrrb and regulates its function in embryonic stem cells Dax1 associates with Esrrb and regulates its function in embryonic stem cells Dax1 associates with Esrrb and regulates its function in embryonic stem cells Dax1 associates with Esrrb and regulates its function in embryonic stem cells Dax1 associates with Esrrb and regulates its function in embryonic stem cells,1
Which syndrome is NHE6 associated with?,"Mutations in the solute carrier family 9, subfamily A member 6 (SLC9A6) gene, encoding the endosomal Na+/H+ exchanger 6 (NHE6) are associated with Christianson syndrome, a syndromic form of X-linked intellectual disability characterized by microcephaly, severe global developmental delay, autistic behavior, early onset seizures and ataxia.",1
List the neurotransmitters that are metabolized by MAOA.,"The monoamine oxidase-A (MAOA) gene plays a vital role in the metabolism of neurotransmitters, e.g, serotonin, norepinephrine, and dopamine.",1
What is the role of music therapy in coma patients.,Several studies have shown that music can boost cognitive functions in patients with a disorder of consciousness but it is difficult to conclude since they did not use quantified measures and a control condition/group. Active improvised music therapy may offer an adjuvant form of treatment in the early rehabilitation of severe brain-injured patients.,1
Which properties of the mRNA does N6-methyladenosine (m6A) affect?,N(6)-methyladenosine (m6A) is the most abundant modified base in eukaryotic mRNA and has been linked to diverse effects on mRNA fate. m6A predominantly and directly reduces mRNA stability.,1
Which factors activate zygotic gene expression during the maternal-to-zygotic transition in zebrafish?,"Nanog, Pou5f1 and SoxB1 activate zygotic gene expression during the maternal-to-zygotic transition. Maternal Nanog, Pou5f1 and SoxB1 are required to initiate the zygotic developmental program and induce clearance of the maternal program by activating miR-430 expression.",1
Do patients with Pendred syndrome present congenital deafness?,Congenital deafness is one of the characteristics of Pendred syndrome patients.,1
Is the gene MAOA epigenetically modified by methylation?,"In recent years, the role of epigenetic phenomenon, such as methylation, in mediating vulnerability to behavioral illness has become increasingly appreciated. One prominent locus at which epigenetic phenomena are thought to be in play is the monoamine oxidase A (MAOA) locus.
We conclude that methylation of MAOA may play a significant role in common psychiatric illness and that further examination of epigenetic processes at this locus is in order.",1
Is olaparib effective for prostate cancer?,"Treatment with the PARP inhibitor olaparib in patients whose prostate cancers were no longer responding to standard treatments and who had defects in DNA-repair genes led to a high response rate. Yes, olaparib was shown to be effective for treatment of prostate cancer. Olaparib led to stable disease or tumor regressions of prostate cancer patients. Yes, olaparib was shown to be effective for treatment of prostate cancer. Olaparib led to stable disease or tumor regressions of prostate cancer patients.",1
Which are the smallest known subviral pathogens of plants?,"Contrary to earlier beliefs, viruses are not the smallest causative agents of infectious diseases. Single-stranded RNAs as small as 246 nucleotides exist in certain higher plants and cause more than a dozen crop diseases. These RNAs have been termed viroids. Viroids are plant subviral pathogens whose genomes are constituted by a single-stranded and covalently closed small RNA molecule that does not encode for any protein. Since the discovery of non-coding, small, highly structured, satellite RNAs (satRNAs) and viroids as subviral pathogens of plants , have been of great interest to molecular biologists as possible living fossils of pre-cellular evolution in an RNA world. Since the discovery of non-coding, small, highly structured, satellite RNAs (satRNAs) and viroids as subviral pathogens of plants , have been of great interest to molecular biologists as possible living fossils of pre-cellular evolution in an RNA world. Since the discovery of non-coding, small, highly structured, satellite RNAs (satRNAs) and viroids as subviral pathogens of plants , have been of great interest to molecular biologists as possible living fossils of pre-cellular evolution in an RNA world. Since the discovery of non-coding, small, highly structured, satellite RNAs (satRNAs) and viroids as subviral pathogens of plants , have been of great interest to molecular biologists as possible living fossils of pre-cellular evolution in an RNA world. Since the discovery of non-coding, small, highly structured, satellite RNAs (satRNAs) and viroids as subviral pathogens of plants , have been of great interest to molecular biologists as possible living fossils of pre-cellular evolution in an RNA world.",1
Is there any link between the aurora B kinase and the polycomb protein ring1B?,Yes. The aurora B kinase and the polycomb protein ring1B combine to regulate active promoters in quiescent lymphocytes.,1
Is the optogenetics tool ChR2 light-sensitive?,Channelrhodospin-2 (ChR2) is a light-sensitive ion channel that has emerged as new optogenetics tool.,1
Which trancription factor activates the betalain pathway?,The beet Y locus encodes an anthocyanin MYB-like protein that activates the betalain red pigment pathway.,1
Which enzyme is inhibited by Imetelstat?,Imetelstat works by inhibiting telomerase.,1
